person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
23,0,1.0,90900,0,0,24000,0,12.92,0.26,2,672,0,1
26,0,2.0,107641,6,0,24000,0,11.58,0.22,3,648,0,0
25,1,0.0,114870,4,0,24000,1,8.9,0.21,2,653,0,0
22,1,1.0,100479,0,0,24000,5,19.69,0.24,3,590,0,1
25,0,2.0,114958,2,0,24000,3,6.54,0.21,4,704,1,0
21,0,2.0,22882,0,1,4900,4,14.54,0.21,4,674,0,1
21,0,1.0,22392,0,1,5000,1,11.11,0.22,2,594,0,1
26,0,0.0,120498,5,0,24000,0,12.73,0.2,4,626,0,0
24,0,2.0,132873,2,0,24000,3,15.62,0.18,4,701,1,0
24,1,3.0,22635,3,1,6250,4,6.54,0.28,4,602,0,1
22,0,3.0,118299,0,0,24000,5,11.01,0.2,2,503,0,1
22,0,0.0,144904,0,0,24000,1,9.91,0.17,4,638,0,0
24,0,1.0,144882,2,0,24000,3,12.69,0.17,4,646,1,0
24,1,2.0,149622,4,0,24000,0,16.49,0.16,4,684,1,0
23,1,1.0,22957,1,2,2500,2,15.95,0.11,2,594,0,1
24,1,2.0,157225,1,0,24000,5,11.49,0.15,3,538,1,0
25,0,1.0,163004,3,0,24000,0,10.99,0.15,2,662,0,0
24,1,0.0,163035,2,0,24000,4,13.79,0.15,2,636,1,0
23,0,3.0,180804,1,0,24000,1,7.49,0.13,4,573,1,0
23,1,2.0,166378,0,0,24000,5,16.0,0.14,2,714,0,1
21,1,1.0,22366,0,1,6250,3,10.62,0.28,4,637,0,1
26,0,0.0,187161,7,0,24000,5,10.99,0.13,4,633,1,0
26,1,1.0,178439,0,0,24000,1,18.3,0.13,2,615,0,1
26,1,1.0,204962,2,0,24000,5,11.01,0.12,2,552,1,0
21,1,1.0,22673,0,1,2500,0,11.36,0.11,3,670,1,0
23,0,2.0,144983,2,0,23750,2,13.47,0.16,2,676,0,0
24,0,0.0,67032,2,0,23600,0,11.89,0.35,3,624,0,1
25,1,0.0,123299,0,0,23600,5,13.49,0.19,4,555,1,0
23,0,3.0,91275,0,0,23575,0,14.5,0.26,4,613,0,1
22,1,1.0,22564,1,1,4000,2,11.01,0.18,2,684,0,1
22,1,1.0,22786,0,1,5400,2,15.31,0.24,2,647,0,1
25,1,0.0,22450,4,2,4000,2,11.01,0.18,3,580,0,1
21,0,1.0,22666,0,1,3375,3,11.01,0.15,2,630,0,1
22,1,1.0,81701,1,0,23400,3,7.49,0.29,2,589,0,1
25,0,2.0,68579,1,0,23000,1,11.01,0.34,2,665,0,1
